ISIN,Date Collected,Price
CA135087J546,2024-01-08,99.63
CA135087J546,2024-01-09,99.64
CA135087J546,2024-01-10,99.65
CA135087J546,2024-01-11,99.66
CA135087J546,2024-01-12,99.67
CA135087J546,2024-01-15,99.69
CA135087J546,2024-01-16,99.68
CA135087J546,2024-01-17,99.68
CA135087J546,2024-01-18,99.71
CA135087J546,2024-01-19,99.72
CA135087J967,2024-01-08,97.96
CA135087J967,2024-01-09,97.98
CA135087J967,2024-01-10,97.98
CA135087J967,2024-01-11,97.98
CA135087J967,2024-01-12,98.02
CA135087J967,2024-01-15,98.05
CA135087J967,2024-01-16,97.97
CA135087J967,2024-01-17,97.97
CA135087J967,2024-01-18,98.00
CA135087J967,2024-01-19,98.01
CA135087K528,2024-01-08,96.46
CA135087K528,2024-01-09,96.48
CA135087K528,2024-01-10,96.55
CA135087K528,2024-01-11,96.58
CA135087K528,2024-01-12,96.66
CA135087K528,2024-01-15,96.71
CA135087K528,2024-01-16,96.54
CA135087K528,2024-01-17,96.45
CA135087K528,2024-01-18,96.49
CA135087K528,2024-01-19,96.46
CA135087K940,2024-01-08,94.34
CA135087K940,2024-01-09,94.37
CA135087K940,2024-01-10,94.38
CA135087K940,2024-01-11,94.43
CA135087K940,2024-01-12,94.49
CA135087K940,2024-01-15,94.49
CA135087K940,2024-01-16,94.42
CA135087K940,2024-01-17,94.25
CA135087K940,2024-01-18,94.24
CA135087K940,2024-01-19,94.22
CA135087L518,2024-01-08,92.86
CA135087L518,2024-01-09,92.86
CA135087L518,2024-01-10,92.84
CA135087L518,2024-01-11,92.86
CA135087L518,2024-01-12,93.02
CA135087L518,2024-01-15,93.01
CA135087L518,2024-01-16,92.80
CA135087L518,2024-01-17,92.57
CA135087L518,2024-01-18,92.55
CA135087L518,2024-01-19,92.54
CA135087L930,2024-01-08,93.46
CA135087L930,2024-01-09,93.44
CA135087L930,2024-01-10,93.55
CA135087L930,2024-01-11,93.53
CA135087L930,2024-01-12,93.60
CA135087L930,2024-01-15,93.57
CA135087L930,2024-01-16,93.40
CA135087L930,2024-01-17,93.12
CA135087L930,2024-01-18,93.08
CA135087L930,2024-01-19,93.07
CA135087M847,2024-01-08,93.28
CA135087M847,2024-01-09,93.30
CA135087M847,2024-01-10,93.24
CA135087M847,2024-01-11,93.19
CA135087M847,2024-01-12,93.47
CA135087M847,2024-01-15,93.49
CA135087M847,2024-01-16,93.14
CA135087M847,2024-01-17,92.86
CA135087M847,2024-01-18,92.75
CA135087M847,2024-01-19,92.76
CA135087N837,2024-01-08,97.58
CA135087N837,2024-01-09,97.59
CA135087N837,2024-01-10,97.60
CA135087N837,2024-01-11,97.52
CA135087N837,2024-01-12,97.74
CA135087N837,2024-01-15,97.77
CA135087N837,2024-01-16,97.44
CA135087N837,2024-01-17,97.09
CA135087N837,2024-01-18,96.96
CA135087N837,2024-01-19,96.95
CA135087P576,2024-01-08,100.50
CA135087P576,2024-01-09,100.48
CA135087P576,2024-01-10,100.44
CA135087P576,2024-01-11,100.33
CA135087P576,2024-01-12,100.64
CA135087P576,2024-01-15,100.67
CA135087P576,2024-01-16,100.22
CA135087P576,2024-01-17,99.83
CA135087P576,2024-01-18,99.66
CA135087P576,2024-01-19,99.62
CA135087Q491,2024-01-08,99.74
CA135087Q491,2024-01-09,99.72
CA135087Q491,2024-01-10,99.72
CA135087Q491,2024-01-11,99.55
CA135087Q491,2024-01-12,99.88
CA135087Q491,2024-01-15,99.91
CA135087Q491,2024-01-16,99.44
CA135087Q491,2024-01-17,98.99
CA135087Q491,2024-01-18,98.81
CA135087Q491,2024-01-19,98.77
CA135087Q988,2024-01-08,103.41
CA135087Q988,2024-01-09,103.38
CA135087Q988,2024-01-10,103.28
CA135087Q988,2024-01-11,103.13
CA135087Q988,2024-01-12,103.54
CA135087Q988,2024-01-15,103.55
CA135087Q988,2024-01-16,102.97
CA135087Q988,2024-01-17,102.48
CA135087Q988,2024-01-18,102.28
CA135087Q988,2024-01-19,102.24
